video_id,comment_id,is_reply,reply_to,comment_lenght,comment,author,channel_id,comment_publishedAt,seconds_after_video,seconds_after_comment,subscriberCount,videoCount,viewCount,bot
rPXasD5We5k,UCKBN3A4w9G_FTW3ca1-CPOw_26,1,UCjAQxCC0jmJpWeGXRIXPCOQ_25,89,,@gustavopedroso5148,UCKBN3A4w9G_FTW3ca1-CPOw,2025-06-19T04:14:56Z,22336,4974,0,0,0,0
rPXasD5We5k,UCC8KTQnNy9witJKmmidTCjA_27,0,,96,,@miguelmacedoSS,UCC8KTQnNy9witJKmmidTCjA,2025-06-19T02:49:59Z,17239,,12,2,2250,0
rPXasD5We5k,UCJAQ1f3H_LnHlVnB9ftoEfQ_28,1,UCC8KTQnNy9witJKmmidTCjA_27,96,,@ogyure,UCJAQ1f3H_LnHlVnB9ftoEfQ,2025-06-19T11:25:20Z,48160,30921,118,0,2,0
rPXasD5We5k,UCJsSxdyNOev-XuMXsHpK4gQ_29,0,,130,,@rafaelribasvieira5248,UCJsSxdyNOev-XuMXsHpK4gQ,2025-06-19T02:42:10Z,16770,,1,0,0,0
rPXasD5We5k,UCrEpzPXk4YN3OI_G5BmRUSg_30,1,UCJsSxdyNOev-XuMXsHpK4gQ_29,130,,@DeTudoUmpouco-fu9zz,UCrEpzPXk4YN3OI_G5BmRUSg,2025-06-19T13:20:15Z,55055,38285,3,0,0,0
rPXasD5We5k,UC-UFHkVmhx447fOqDKac9gg_31,1,UCJsSxdyNOev-XuMXsHpK4gQ_29,130,,@d.souza.editszxx,UC-UFHkVmhx447fOqDKac9gg,2025-06-19T16:04:19Z,64899,48129,339,67,64864,0
rPXasD5We5k,UCefe6z5WXdpQ2_Cc0V_uZUQ_32,0,,96,,@jackreisdrummer,UCefe6z5WXdpQ2_Cc0V_uZUQ,2025-06-19T02:15:33Z,15173,,19,10,100,0
rPXasD5We5k,UCeiIcqYa3WCNlDxVqENFsQw_33,1,UCefe6z5WXdpQ2_Cc0V_uZUQ_32,96,,@joaopaulosouzasouza19,UCeiIcqYa3WCNlDxVqENFsQw,2025-06-19T06:31:34Z,30534,15361,1,0,0,0
rPXasD5We5k,UCL57FE-UjFsPIt3875vYP4Q_34,1,UCefe6z5WXdpQ2_Cc0V_uZUQ_32,96,,@samirzs5125,UCL57FE-UjFsPIt3875vYP4Q,2025-06-19T14:33:56Z,59476,44303,23,0,0,0
rPXasD5We5k,UCQ9RVbQes7wPHw_59TKDqJA_35,1,UCefe6z5WXdpQ2_Cc0V_uZUQ_32,96,,@bestcontent7622,UCQ9RVbQes7wPHw_59TKDqJA,2025-06-20T00:56:14Z,96814,81641,2,0,0,0
rPXasD5We5k,UCvWAdc17g_j4MQDSZ0u9Amw_36,0,,35,,@allansalatino,UCvWAdc17g_j4MQDSZ0u9Amw,2025-06-19T02:08:46Z,14766,,3,1,87,0
rPXasD5We5k,UCJmDVeknZeDfqmJz_ep0pPQ_37,1,UCvWAdc17g_j4MQDSZ0u9Amw_36,35,,@KarlosDanniel-m8f,UCJmDVeknZeDfqmJz_ep0pPQ,2025-06-19T19:19:52Z,76632,61866,1,0,0,0
rPXasD5We5k,UCLTyAuk-x1omklNA8EAA61Q_38,0,,86,,@Alex.5169,UCLTyAuk-x1omklNA8EAA61Q,2025-06-19T01:39:45Z,13025,,1,1,2,0
rPXasD5We5k,UCJmDVeknZeDfqmJz_ep0pPQ_39,1,UCLTyAuk-x1omklNA8EAA61Q_38,86,,@KarlosDanniel-m8f,UCJmDVeknZeDfqmJz_ep0pPQ,2025-06-19T19:38:56Z,77776,64751,1,0,0,0
rPXasD5We5k,UCpOQbyAA5UWytTAGtgTA8FQ_40,0,,93,,@cortesereactesmeri,UCpOQbyAA5UWytTAGtgTA8FQ,2025-06-19T01:20:30Z,11870,,9340,352,4639240,0
rPXasD5We5k,UC4Ehs5FYYGbBCyoPrv9y61w_41,1,UCpOQbyAA5UWytTAGtgTA8FQ_40,93,,@paulinhobarreto3064,UC4Ehs5FYYGbBCyoPrv9y61w,2025-06-20T16:37:51Z,153311,141441,11,1,1794,0
rPXasD5We5k,UC6ieVmgqFs2J8dPqIkeklqA_42,0,,96,,@srguga_07,UC6ieVmgqFs2J8dPqIkeklqA,2025-06-19T00:50:21Z,10061,,10,1,33,0
